127.0.0.1 - - [31/Aug/2023:11:37:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Aug/2023:11:37:43 +0530] "GET /AdvClass8/Abc.html HTTP/1.1" 200 2235
0:0:0:0:0:0:0:1 - - [31/Aug/2023:11:37:43 +0530] "GET /AdvClass8/main.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [31/Aug/2023:11:37:43 +0530] "GET /AdvClass8/main.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [31/Aug/2023:11:37:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [31/Aug/2023:11:38:08 +0530] "GET /AdvClass8/css4.html HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [31/Aug/2023:11:38:08 +0530] "GET /AdvClass8/Demo.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [31/Aug/2023:11:38:08 +0530] "GET /AdvClass8/main.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [31/Aug/2023:11:38:24 +0530] "GET /AdvClass8/css3.html HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [31/Aug/2023:11:38:24 +0530] "GET /AdvClass8/main.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [31/Aug/2023:11:38:24 +0530] "GET /AdvClass8/main.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [31/Aug/2023:11:38:24 +0530] "GET /AdvClass8/Img1.jpg HTTP/1.1" 200 44304
0:0:0:0:0:0:0:1 - - [31/Aug/2023:11:38:37 +0530] "GET /AdvClass8/css2.html HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [31/Aug/2023:11:38:37 +0530] "GET /AdvClass8/main.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [31/Aug/2023:11:38:37 +0530] "GET /AdvClass8/main.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [31/Aug/2023:12:04:13 +0530] "GET /AdvClass8/main.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [31/Aug/2023:12:04:13 +0530] "GET /AdvClass8/main.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [31/Aug/2023:12:05:39 +0530] "GET /AdvClass8/Abc.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:12:05:39 +0530] "GET /AdvClass8/main.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [31/Aug/2023:12:05:39 +0530] "GET /AdvClass8/main.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [31/Aug/2023:12:05:41 +0530] "GET /AdvClass8/Abc.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:12:05:41 +0530] "GET /AdvClass8/main.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [31/Aug/2023:12:05:41 +0530] "GET /AdvClass8/main.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [31/Aug/2023:12:05:47 +0530] "GET /AdvClass8/main.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [31/Aug/2023:12:05:47 +0530] "GET /AdvClass8/main.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [31/Aug/2023:12:06:04 +0530] "GET /AdvClass8/Abc.html HTTP/1.1" 200 2235
0:0:0:0:0:0:0:1 - - [31/Aug/2023:12:06:04 +0530] "GET /AdvClass8/main.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [31/Aug/2023:12:06:04 +0530] "GET /AdvClass8/main.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [31/Aug/2023:12:06:06 +0530] "GET /AdvClass8/Abc.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:12:06:06 +0530] "GET /AdvClass8/main.css HTTP/1.1" 404 773
